review	score
결제 후 하루 배송으로 제품을 받았습니다.뽁뽁이로 안전하게 잘 포장되어 있었고, 제품도 새 제품으로 이상 없이 깨끗한 상태였습니다. 드라이버를 설치하지 않아도 윈도에서 인식되고 잘 동작합니다.무광이라 손에 땀이 차도 잘 미끄러지지 않고 유광에 비해 지문 등이 잘 묻어나지 않아서 좋습니다. 가격 대비 성능이 좋아 만족합니다.	5
로지텍 g102 사용하다가 더블클릭 고장으로 맥스틸 구매결정!구매한지 거의 2주만에 개봉했습니다.배송도 빨랐고, 포장도 깔끔하네요제품자체 패키징도 아주 좋구요.아직 사용은 안해봤지만 가성비 훌륭합니다.아 저도 몰랐는데 바닥면에 비닐은 떼고 사용하세요~	5
물품 잘 받았습니다.사용중이던 마우스 휠부분과 왼쪽 클릭 부분에 이상이 생겨서 다른 제품을 알아보다가 이 제품을 구매하게되었습니다.기존에 사용하던 것은 다이소에서 판매중인 무선마우스 였는데 너무 금방 고장이 나더군요. ㅠㅠ그래서 이번에는 가격이 쫌 나가더라도 괜찮은 것을 구매하는게 좋을 것 같아서 이 제품을 구매하였습니다.지금까지 사용한 느낌은 좋은 것 같네요.	5
쓰던 무선마우스가 1년이 넘어가면서 휠 오류, 클릭 어려워지고 손이 작은 편인데도 넘 캄팩트해 손에 무리가 가기 시작해서 재구매했는데 정말 좋아요 튼튼해보이고 게임용으로 쓰는 건 아니라서 드라이버 설정때 헤맸는데 좀 더 봐야겠지만 안정적인 느낌이에요 무선 이제 안쓰려구요~ 굿굿	5
10월2일 오후 4시25분 주문했고도착은 10월 5일 오후4시30분쯤이고 일단 당일배송아니면서 당일배송이라고 써놓나.전 러버2개 지금 억지로 받은 매트까지 2개 해서 g트론 10  이제품만 4개째 쓰는 사람임.노트북에 쓰는 러버1개는 거의 2년째 쓰는데 여태 잘됨 1개는 친구 노트북 샀을 때 줌.매트는 4~5개월 때부터 왼쪽이 간헐적으로 안눌림.그렇게 쓰다보니 짜증나서 이번에 러버 러버로 러버로 주문함 러버 러버로 러버로 주문함 러버 러버로 러버로 주문함러버 가격이 내린건지 매트 가격이 오른건지 모르겠지만 원랜 러버가 매트보다 2~3처넌 더 비싼제품임.러버가 표면도 코팅되서 다 매끈하고 마우스 촉감도 더 좋고 한 번씩 닦기도 편하고 좋음.후기들도 보니까 죄다 매트밖에 없는 걸로보니 판매자 러버로 시키든 매트로 시키든 재고 많이 남은 매트로만 보내는 거 같은데용산전자상가이미지 누가만드는지 잘생각 해보심?나도 걍 귀찮아서 반품이고 뭐고 안하고 쓰긴 할텐데이렇게 속보이게 하진마세요	1
배송빠르고 사이드버튼 불량이 있었으나 교환도 바로 해주시고 서비스 좋았습니다.g10 pro도 있는데 프로에 비해 클릭압이 좀더있고 사이드는 압이 더 가벼운것 같습니다.손이F11정도인데 프로보다 좀더 작은 느낌입니다.사용해보니 두제품 느낌은 다릅니다.LED는 단순하지만 정숙한 느낌이라 사무실에서도 쓸수있을것같아 범용성은 요제품이 더 나은 것 같습니다.	5
사무실에서 사용중입니다휠 단축키로 더블크릭을 젤많이 쓰네요ㅎ미세한 작업에는 느리게 설정한거로 쓰고듀얼모니터라 평소엔 기본으로 놓고 이쪽저쪽 휙~휙~맘데로 조절가능한것도 장점이네요사실 첨엔 기능을 몰라 못썻는데 겜하는 신랑덕에 기능듣고부터는 바로 적용하니 짱 편합니다~제기준엔 나름 비싼거라ㅋ 가성비 요런건 모르겠고겜용 마우스도 쓸만하네요~^^	4
여긴 사짜 업체다 믿지마라지금은 어떤지 모르겠지만하얀색을 주문해도 검은색을 보낸다원래 하얀색이 더 비싸고 좋은제품이다지금은 가격이 같아졌지만 내가 이 마우스를 처음 나왔을 때부터 구매해봐서 안다하얀색이 3처넌정도 더 비싼 제품이다그래서 판매자가 일부러 하얀색 구매해도 검정색 보낸다하얀색 구매했는데 검정색 왔다는 후기가 엄청 많을 거다.판매자 양심없이 장사하는 용**이다	1
G1과 달리 무광이라 땀이 차거나 때가 끼지 않는 것이 일단 너무 좋다. 그리고 g1보단 dpi가 거 좋다. 마우스 클릭이 딱딱한데 깊이 눌리지 않아 기계식 키보드처럼 타닥타닥 느낌이 아닌게 좀 아쉽다. 마우스 크기는 좀더 큰 느낌인데 적응되면 체감 안되는 부분이다. 수명이 짧다는 후기를 보고 일단 싼거 사서 써보고 괜찮으면 다음에 살때 프로로 사려고 생각했었는데 바로 프로로 살걸 그랬다. 이거 수명 죽으면 프로사서 쓸거다. 프로는 클릭감이 좀더 좋고 dpi가 3배차이라 한다. 가격은 6천원 차인데..	4
하드디스크와 함께 주문했는데 도착한 마우스의 포장을 보고 깜짝 놀랐습니다마우스상자를 누가 발로 밟았는지 많이 찌그러져 있더군요포장하기전에 다른 물건들에 치대어져서 찌그러진 거라면 파손이 되었을 수도 있는데 개봉해서 확인한 흔적도 없어서 파손이 되었으면 어떡하나 싶었는데 다행히도 마우스는 이상이 없었습니다같이 주문한 하드디스크도 뽁뽁이 포장이 부실해서 좀 문제가 있었습니다스마일배송 하시는 분들이 좀 더 포장에 주의해 주시면 좋겠습니다만약에 물건이 파손된 상태로 배송이 되면 스마일배송을 담당하시는 분들에게도 번거로운 일이니 보내기 전에 꼭 확인해 주시고 포장도 잘 좀 해주시기 바랍니다잘 사용하도록 하겠습니다.  많이 파세요(많이 찌그러진 포장상태를 사진으로 찍어 올립니다)	5
